#           L                      F_max           F_away (theta=0.8 pi)   F_away (theta=0.65 pi)

2.100000000000000000e+01 6.396618636244983236e+01 2.480875392013190961e+01 4.201434864853604978e+01
3.100000000000000000e+01 1.489563092106517388e+02 4.457993210905237902e+01 6.387103777105635061e+01
4.100000000000000000e+01 2.611796690569444195e+02 7.221239289917834014e+01 8.453848734805794152e+01
5.100000000000000000e+01 3.935749064107005779e+02 9.337487846819576021e+01 1.030794384147306744e+02
6.100000000000000000e+01 5.462251184026149531e+02 1.152985229507374214e+02 1.197256384637725830e+02
7.100000000000000000e+01 7.182999474285783208e+02 1.285531290427400677e+02 1.356940834758217420e+02
8.100000000000000000e+01 9.122567618710949091e+02 1.422514613217096837e+02 1.509992927855247160e+02
9.100000000000000000e+01 1.128519436552640173e+03 1.483805851540666083e+02 1.659545562485220103e+02
1.010000000000000000e+02 1.367419346887427764e+03 1.563302720118476827e+02 1.806818041289943153e+02
1.210000000000000000e+02 1.911734426636282706e+03 1.628667456743126820e+02 2.097802157887663554e+02
1.410000000000000000e+02 2.551029763644522518e+03 1.656525616581755287e+02 2.386833391330771690e+02
1.610000000000000000e+02 3.276765008225391284e+03 1.667693496325956062e+02 2.675422365954045176e+02
1.810000000000000000e+02 4.107053900913240795e+03 1.671971090285809964e+02 2.964129779371446602e+02
2.010000000000000000e+02 5.010906493968335781e+03 1.673552963414196597e+02 3.253137293357917201e+02
2.210000000000000000e+02 5.993459729354358387e+03 1.674121959650895235e+02 3.542478309974710555e+02
2.410000000000000000e+02 7.111896022299861215e+03 1.674322091754493727e+02 3.832131468794582929e+02
2.610000000000000000e+02 8.318942766142477922e+03 1.674391194716170617e+02 4.122058425548541436e+02
2.810000000000000000e+02 9.612605900984770415e+03 1.674414688258226249e+02 4.412218756888049143e+02
3.010000000000000000e+02 1.099074204907589592e+04 1.674422571082962463e+02 4.702575407702170764e+02
3.210000000000000000e+02 1.245107008249696446e+04 1.674425186237463379e+02 4.993096254989339400e+02
3.410000000000000000e+02 1.399118292388476584e+04 1.674426045328952739e+02 5.283754133919733249e+02
3.610000000000000000e+02 1.560855944629669648e+04 1.674426325125368180e+02 5.574526315495686504e+02
3.810000000000000000e+02 1.730057639344607378e+04 1.674426415560313899e+02 5.865393846714866868e+02
4.010000000000000000e+02 1.906452025975074866e+04 1.674426444591053666e+02 6.156340915054489642e+02
