#    theta_exp/pi              theta_est/pi             error bar                   QFI               error bar(duplicate)

0.000000000000000000e+00 -8.076247599981265565e-04 1.056616125554357081e-03 8.113440548382204204e-04 1.056616125554357081e-03
1.000000000000000021e-02 9.120250777596209529e-03 1.199900516233691049e-03 8.894910474691412059e-04 1.199900516233691049e-03
2.000000000000000042e-02 1.819370539291935776e-02 1.289391342394781989e-03 9.373314231842304030e-04 1.289391342394781989e-03
2.999999999999999889e-02 2.872913669622930571e-02 1.459723578664218332e-03 1.011957199194974712e-03 1.459723578664218332e-03
4.000000000000000083e-02 4.041486145040652789e-02 1.538408472845424063e-03 1.029340329565675213e-03 1.538408472845424063e-03
5.000000000000000278e-02 4.890529665800921050e-02 1.541449640575244615e-03 1.028114329225951300e-03 1.541449640575244615e-03
5.999999999999999778e-02 6.179944635647896534e-02 1.373335446898251528e-03 9.944176718966375467e-04 1.373335446898251528e-03
7.000000000000000666e-02 7.043852482895315847e-02 1.137172360035968149e-03 8.571642375698408558e-04 1.137172360035968149e-03
8.000000000000000167e-02 8.108011636679705869e-02 9.414580008245892551e-04 7.439678632016142462e-04 9.414580008245892551e-04
8.999999999999999667e-02 8.979269936438095956e-02 7.678114479901448431e-04 5.783686268577675196e-04 7.678114479901448431e-04
1.000000000000000056e-01 9.958426788392731044e-02 9.555884164369723077e-04 4.434011966409160668e-04 9.555884164369723077e-04
1.100000000000000006e-01 1.095474916971833773e-01 4.647159742670960744e-04 3.453555466890442837e-04 4.647159742670960744e-04
1.199999999999999956e-01 1.198224928894885966e-01 3.320546550021227740e-04 2.999638549001287574e-04 3.320546550021227740e-04
1.300000000000000044e-01 1.301155329520218007e-01 3.233075463920680377e-04 2.936286596635793371e-04 3.233075463920680377e-04
1.400000000000000133e-01 1.394851909952543045e-01 3.928333304326359901e-04 3.377048587809405975e-04 3.928333304326359901e-04
1.499999999999999944e-01 1.502496436508499733e-01 4.848524747628484184e-04 4.125197831826076054e-04 4.848524747628484184e-04
1.600000000000000033e-01 1.593936150225862269e-01 5.851839083475067742e-04 4.961050369663914765e-04 5.851839083475067742e-04
1.700000000000000400e-01 1.708022229788936641e-01 7.299155997581153847e-04 5.798950796601896624e-04 7.299155997581153847e-04
1.799999999999999933e-01 1.795305424973160646e-01 8.731533331487577061e-04 6.260513116612423596e-04 8.731533331487577061e-04
1.899999999999999745e-01 1.895811455004359769e-01 9.307993584913354162e-04 6.694209556950367779e-04 9.307993584913354162e-04
2.000000000000000111e-01 1.989526992248357717e-01 9.186039475506423743e-04 7.183937344766468244e-04 9.186039475506423743e-04
