#    Re(beta)        Im(beta)

  -5.4876972e-01   4.9353830e-04
  -5.4839158e-01   2.5981215e-03
  -5.4769622e-01   6.3750215e-03
  -5.4665798e-01   1.1808909e-02
  -5.4524017e-01   1.8876413e-02
  -5.4339550e-01   2.7546651e-02
  -5.4106645e-01   3.7781108e-02
  -5.3818586e-01   4.9533422e-02
  -5.3467761e-01   6.2749089e-02
  -5.3045738e-01   7.7365121e-02
  -5.2543358e-01   9.3309622e-02
  -5.1950829e-01   1.1050132e-01
  -5.1257839e-01   1.2884901e-01
  -5.0453681e-01   1.4825099e-01
  -4.9527388e-01   1.6859441e-01
  -4.8467885e-01   1.8975465e-01
  -4.7264158e-01   2.1159464e-01
  -4.5905432e-01   2.3396430e-01
  -4.4381383e-01   2.5669999e-01
  -4.2682352e-01   2.7962411e-01
  -4.0799587e-01   3.0254488e-01
  -3.8725506e-01   3.2525640e-01
  -3.6453961e-01   3.4753893e-01
  -3.3980535e-01   3.6915963e-01
  -3.1302825e-01   3.8987370e-01
  -2.8420740e-01   4.0942603e-01
  -2.5336776e-01   4.2755342e-01
  -2.2056283e-01   4.4398733e-01
  -1.8587683e-01   4.5845722e-01
  -1.4942653e-01   4.7069453e-01
  -1.1136239e-01   4.8043699e-01
  -7.1868929e-02   4.8743348e-01
  -3.1164297e-02   4.9144902e-01
   1.0501184e-02   4.9226984e-01
   5.2847437e-02   4.8970837e-01
   9.5568053e-02   4.8360773e-01
   1.3833465e-01   4.7384582e-01
   1.8080199e-01   4.6033828e-01
   2.2261378e-01   4.4304070e-01
   2.6340881e-01   4.2194952e-01
   3.0282715e-01   3.9710169e-01
   3.4051632e-01   3.6857313e-01
   3.7613686e-01   3.3647586e-01
   4.0936724e-01   3.0095413e-01
   4.3990786e-01   2.6217959e-01
   4.6748394e-01   2.2034575e-01
   4.9184721e-01   1.7566197e-01
   5.1277647e-01   1.2834724e-01
   5.3007690e-01   7.8623834e-02
   5.4357836e-01   2.6711113e-02
   5.4357836e-01  -2.6711113e-02
   5.3007690e-01  -7.8623834e-02
   5.1277647e-01  -1.2834724e-01
   4.9184721e-01  -1.7566197e-01
   4.6748394e-01  -2.2034575e-01
   4.3990786e-01  -2.6217959e-01
   4.0936724e-01  -3.0095413e-01
   3.7613686e-01  -3.3647586e-01
   3.4051632e-01  -3.6857313e-01
   3.0282715e-01  -3.9710169e-01
   2.6340881e-01  -4.2194952e-01
   2.2261378e-01  -4.4304070e-01
   1.8080199e-01  -4.6033828e-01
   1.3833465e-01  -4.7384582e-01
   9.5568053e-02  -4.8360773e-01
   5.2847436e-02  -4.8970836e-01
   1.0501184e-02  -4.9226984e-01
  -3.1164297e-02  -4.9144902e-01
  -7.1868929e-02  -4.8743348e-01
  -1.1136239e-01  -4.8043699e-01
  -1.4942653e-01  -4.7069453e-01
  -1.8587683e-01  -4.5845722e-01
  -2.2056283e-01  -4.4398733e-01
  -2.5336776e-01  -4.2755342e-01
  -2.8420740e-01  -4.0942603e-01
  -3.1302825e-01  -3.8987370e-01
  -3.3980535e-01  -3.6915963e-01
  -3.6453961e-01  -3.4753893e-01
  -3.8725506e-01  -3.2525640e-01
  -4.0799587e-01  -3.0254488e-01
  -4.2682352e-01  -2.7962411e-01
  -4.4381383e-01  -2.5669999e-01
  -4.5905432e-01  -2.3396430e-01
  -4.7264158e-01  -2.1159464e-01
  -4.8467885e-01  -1.8975465e-01
  -4.9527388e-01  -1.6859441e-01
  -5.0453681e-01  -1.4825099e-01
  -5.1257839e-01  -1.2884901e-01
  -5.1950829e-01  -1.1050132e-01
  -5.2543358e-01  -9.3309622e-02
  -5.3045738e-01  -7.7365121e-02
  -5.3467761e-01  -6.2749089e-02
  -5.3818586e-01  -4.9533422e-02
  -5.4106645e-01  -3.7781108e-02
  -5.4339550e-01  -2.7546651e-02
  -5.4524017e-01  -1.8876413e-02
  -5.4665798e-01  -1.1808909e-02
  -5.4769622e-01  -6.3750215e-03
  -5.4839156e-01  -2.5981214e-03
  -5.4876973e-01  -4.9353831e-04
