#    theta_exp/pi              theta_est/pi             error bar                   QFI               error bar(duplicate)

5.999999999999999778e-01 5.991563564829426314e-01 1.704122094924546494e-03 1.606239139743280073e-03 1.704122094924546494e-03
6.099999999999999867e-01 6.121455915392670644e-01 1.604925672426314601e-03 1.544396990362480789e-03 1.604925672426314601e-03
6.199999999999999956e-01 6.169494133747972509e-01 1.555269174670657461e-03 1.445845623586913516e-03 1.555269174670657461e-03
6.300000000000000044e-01 6.314996222358832956e-01 1.331203575603003399e-03 1.302079850294011023e-03 1.331203575603003399e-03
6.400000000000000133e-01 6.399609746616345962e-01 1.176310952317272856e-03 1.135264750546479112e-03 1.176310952317272856e-03
6.500000000000000222e-01 6.474146401675731077e-01 9.857477502267023017e-04 9.031276901477710596e-04 9.857477502267023017e-04
6.600000000000000311e-01 6.579235662648714733e-01 7.580004945662455890e-04 6.993556755580032300e-04 7.580004945662455890e-04
6.700000000000000400e-01 6.658367296782757849e-01 6.185436771558549792e-04 5.439062817249096021e-04 6.185436771558549792e-04
6.800000000000001599e-01 6.763960494745304697e-01 4.977719219115421577e-04 4.258735345576703251e-04 4.977719219115421577e-04
6.900000000000000577e-01 6.891773293208839357e-01 5.554958007873106278e-04 3.900340004557985795e-04 5.554958007873106278e-04
6.999999999999999556e-01 7.003248747244423811e-01 4.444201690186701573e-04 4.203614391108302802e-04 4.444201690186701573e-04
7.099999999999999645e-01 7.028486951025820773e-01 4.536369584288209994e-04 5.335381496073345097e-04 4.536369584288209994e-04
7.199999999999999734e-01 7.084994938731993264e-01 5.831151403378550960e-04 7.936989927432538299e-04 5.831151403378550960e-04
7.299999999999999822e-01 7.377064882712180971e-01 1.398652996309816127e-03 1.297071754700337282e-03 1.398652996309816127e-03
7.400000000000001021e-01 7.423659185263574711e-01 1.494486235040824859e-03 2.038163870560774464e-03 1.494486235040824859e-03
7.500000000000000000e-01 7.433182419132557950e-01 1.396803993923776029e-03 2.237512269191624381e-03 1.396803993923776029e-03
7.599999999999998979e-01 7.478943552339609724e-01 1.633794418654287714e-03 1.888260747179577002e-03 1.633794418654287714e-03
7.700000000000000178e-01 7.897301254310796770e-01 1.680267408774407164e-03 1.692345244325161062e-03 1.680267408774407164e-03
7.800000000000000266e-01 7.975813713329548138e-01 1.638285926712961969e-03 1.599016006067793816e-03 1.638285926712961969e-03
7.900000000000000355e-01 7.947982057784998000e-01 1.574108734004799059e-03 1.596307087075453119e-03 1.574108734004799059e-03
8.000000000000000444e-01 8.044092044970975186e-01 1.470642766135601661e-03 1.642086487088112315e-03 1.470642766135601661e-03
