#    theta_exp/pi              theta_est/pi             error bar                   QFI               error bar(duplicate)

5.999999999999999778e-01 6.012354717761633216e-01 1.221609729713598377e-03 8.588744033291154708e-04 1.221609729713598377e-03
6.099999999999999867e-01 6.088464816898304655e-01 1.157642092749089184e-03 8.211379681751057287e-04 1.157642092749089184e-03
6.199999999999999956e-01 6.215562076747964682e-01 1.090584991877043951e-03 8.143785364689954624e-04 1.090584991877043951e-03
6.300000000000000044e-01 6.298572113548026596e-01 1.047754743909031514e-03 7.944727016329266233e-04 1.047754743909031514e-03
6.400000000000000133e-01 6.413116117758914658e-01 1.031315104860637197e-03 7.631194461247004781e-04 1.031315104860637197e-03
6.500000000000000222e-01 6.487367671116127665e-01 1.081688418949936512e-03 7.621053661797189344e-04 1.081688418949936512e-03
6.600000000000000311e-01 6.603702976382145318e-01 1.151078158376565158e-03 7.344974959781939245e-04 1.151078158376565158e-03
6.700000000000000400e-01 6.708996257766602911e-01 1.122657767483986732e-03 7.187174518627640132e-04 1.122657767483986732e-03
6.800000000000001599e-01 6.794332144013862651e-01 1.003357673567419582e-03 6.972767960401986395e-04 1.003357673567419582e-03
6.900000000000000577e-01 6.901787526603526679e-01 8.848316557224315251e-04 6.790472525328419742e-04 8.848316557224315251e-04
6.999999999999999556e-01 7.001640783201994456e-01 7.861177176652708746e-04 6.266560907915564140e-04 7.861177176652708746e-04
7.099999999999999645e-01 7.097238705376512913e-01 7.862555761177896776e-04 5.913544529918492079e-04 7.862555761177896776e-04
7.199999999999999734e-01 7.211452807350638983e-01 1.129541601772056630e-03 5.368291254514986422e-04 1.129541601772056630e-03
7.299999999999999822e-01 7.309720177215737191e-01 6.537717487569579509e-04 5.133373267910602443e-04 6.537717487569579509e-04
7.400000000000001021e-01 7.411663054447411580e-01 5.657462472426225348e-04 4.988271051511877514e-04 5.657462472426225348e-04
7.500000000000000000e-01 7.509453761133719762e-01 5.609505659385432630e-04 5.077633341330798711e-04 5.609505659385432630e-04
7.599999999999998979e-01 7.619491779800451337e-01 5.911042384336618770e-04 5.322816436893615865e-04 5.911042384336618770e-04
7.700000000000000178e-01 7.707465462336263728e-01 6.522036336767046043e-04 5.906182013061447161e-04 6.522036336767046043e-04
7.800000000000000266e-01 7.810140773677969328e-01 7.383830541453482608e-04 6.601076195317308760e-04 7.383830541453482608e-04
7.900000000000000355e-01 7.904260269159831820e-01 8.679617505911115015e-04 7.727332401439857001e-04 8.679617505911115015e-04
8.000000000000000444e-01 8.006898665838192430e-01 1.022212335185411318e-03 8.894911820312957022e-04 1.022212335185411318e-03
