#    theta_exp/pi              theta_est/pi             error bar                   QFI

5.999999999999999778e-01 5.991440537773641273e-01 1.703713572274031477e-03 1.606239139743280073e-03
6.099999999999999867e-01 6.128725941674008082e-01 1.597670924655376391e-03 1.544396990362480789e-03
6.199999999999999956e-01 6.180190391520374860e-01 1.542075557992285363e-03 1.445845623586913516e-03
6.300000000000000044e-01 6.316225569855870026e-01 1.327403914464599316e-03 1.302079850294011023e-03
6.400000000000000133e-01 6.395316376884948584e-01 1.187676066008770638e-03 1.135264750546479112e-03
6.500000000000000222e-01 6.472681452751974929e-01 9.896367930082887107e-04 9.031276901477710596e-04
6.600000000000000311e-01 6.582974817738688200e-01 7.495046625436773769e-04 6.993556755580032300e-04
6.700000000000000400e-01 6.661174908240151682e-01 6.143749315684813141e-04 5.439062817249096021e-04
6.800000000000001599e-01 6.766119296756529788e-01 4.970343444382693951e-04 4.258735345576703251e-04
6.900000000000000577e-01 6.895486804637764866e-01 5.394262323832464028e-04 3.900340004557985795e-04
6.999999999999999556e-01 7.002475082000024775e-01 4.418758725978359412e-04 4.203614391108302802e-04
7.099999999999999645e-01 7.032867359327228396e-01 4.585764639941351957e-04 5.335381496073345097e-04
7.199999999999999734e-01 7.080383809469035228e-01 5.636074859390613825e-04 7.936989927432538299e-04
7.299999999999999822e-01 7.374501464831244579e-01 1.392451030184503613e-03 1.297071754700337282e-03
7.400000000000001021e-01 7.423997528239660859e-01 1.467984237940208854e-03 2.038163870560774464e-03
7.500000000000000000e-01 7.439863263648290870e-01 1.419871215032393434e-03 2.237512269191624381e-03
7.599999999999998979e-01 7.482310533065399394e-01 1.660138282248226982e-03 1.888260747179577002e-03
7.700000000000000178e-01 7.884762931958216869e-01 1.730913426300506987e-03 1.692345244325161062e-03
7.800000000000000266e-01 7.972461209417768258e-01 1.621797794293444728e-03 1.599016006067793816e-03
7.900000000000000355e-01 7.942571308233264959e-01 1.589223408655187882e-03 1.596307087075453119e-03
8.000000000000000444e-01 8.045150868320104509e-01 1.453370690967681561e-03 1.642086487088112315e-03
