#           L                      F_max           F_away (theta=0.15 pi)   F_away (theta=0.2 pi)

2.100000000000000000e+01 2.736594144308237446e+02 2.682130988243267211e+02 5.587456738396917899e+01
3.100000000000000000e+01 4.303991555964722124e+02 2.060767793954351532e+02 7.145077922826499162e+01
4.100000000000000000e+01 5.866712311284218231e+02 2.793411249331071531e+02 8.116845738422649958e+01
5.100000000000000000e+01 7.615708114772252202e+02 2.640305567056918221e+02 9.751875553790404183e+01
6.100000000000000000e+01 9.021362218602956773e+02 2.645871848147652940e+02 1.184894835918908598e+02
7.100000000000000000e+01 1.163834598231532482e+03 2.554580265611256209e+02 1.384375135028299155e+02
8.100000000000000000e+01 1.285151974425475146e+03 2.722035511105746082e+02 1.577969700992774733e+02
9.100000000000000000e+01 1.576694298098813761e+03 2.743306233802081238e+02 1.773300984601411301e+02
1.010000000000000000e+02 1.717526922939275892e+03 2.932322453947729173e+02 1.969568188165630147e+02
1.210000000000000000e+02 2.175893438868519297e+03 3.266528281967260909e+02 2.361370026392237094e+02
1.410000000000000000e+02 2.658904564176795702e+03 3.662256138867596746e+02 2.752363262177921683e+02
1.610000000000000000e+02 3.167810245661011777e+03 4.087274031256626472e+02 3.142658084910762000e+02
1.810000000000000000e+02 3.694186161196369085e+03 4.527171198852639122e+02 3.532355329445110783e+02
2.010000000000000000e+02 4.226876047102431585e+03 4.974918569618860147e+02 3.921561449009258240e+02
2.210000000000000000e+02 4.814775049989157196e+03 5.427004154473506787e+02 4.310363949348327424e+02
2.410000000000000000e+02 5.375729295912104135e+03 5.881630976036460652e+02 4.698832184978443820e+02
2.610000000000000000e+02 6.010283859292286252e+03 6.337841976986752570e+02 5.087020439539057293e+02
2.810000000000000000e+02 6.635021182303030400e+03 6.795101891464607888e+02 5.474971254188247940e+02
3.010000000000000000e+02 7.236920697234956606e+03 7.253094349089685693e+02 5.862718180937954457e+02
3.210000000000000000e+02 7.962851948598068702e+03 7.711621084491338252e+02 6.250287908165869339e+02
3.410000000000000000e+02 8.652216981247327567e+03 8.170550534255660295e+02 6.637701861084865413e+02
3.610000000000000000e+02 9.290249913982193902e+03 8.629790774988563271e+02 7.024977399362361439e+02
3.810000000000000000e+02 1.003886738032605535e+04 9.089274724702336243e+02 7.412128715060605373e+02
4.010000000000000000e+02 1.085412622037018627e+04 9.548951689716120654e+02 7.799167509843165362e+02
